A test suite for benchmarking various Go serialization methods.

See README.md for details on running the benchmarks.

goos: linux
goarch: amd64
pkg: github.com/alecthomas/go_serialization_benchmarks
cpu: 11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz
Benchmark_Colfer_Marshal-8                                        	 8374770	       122.8 ns/op	        51.13 B/serial	      64 B/op	       1 allocs/op
Benchmark_Colfer_Unmarshal-8                                      	 6232246	       182.0 ns/op	        52.00 B/serial	     112 B/op	       3 allocs/op
Benchmark_Gencode_Marshal-8                                       	10375894	       114.5 ns/op	        53.00 B/serial	      80 B/op	       2 allocs/op
Benchmark_Gencode_Unmarshal-8                                     	 8154621	       150.4 ns/op	        53.00 B/serial	     112 B/op	       3 allocs/op
Benchmark_GencodeUnsafe_Marshal-8                                 	16499416	        71.25 ns/op	        46.00 B/serial	      48 B/op	       1 allocs/op
Benchmark_GencodeUnsafe_Unmarshal-8                               	 9791605	       148.9 ns/op	        46.00 B/serial	      96 B/op	       3 allocs/op
Benchmark_XDR2_Marshal-8                                          	 8810739	       148.4 ns/op	        60.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_XDR2_Unmarshal-8                                        	11508285	       106.9 ns/op	        60.00 B/serial	      32 B/op	       2 allocs/op
Benchmark_GoAvro_Marshal-8                                        	  690482	      1800 ns/op	        47.00 B/serial	     584 B/op	      18 allocs/op
Benchmark_GoAvro_Unmarshal-8                                      	  280483	      4021 ns/op	        47.00 B/serial	    2312 B/op	      53 allocs/op
Benchmark_GoAvro2Text_Marshal-8                                   	  425636	      2387 ns/op	       133.8 B/serial	    1320 B/op	      20 allocs/op
Benchmark_GoAvro2Text_Unmarshal-8                                 	  573084	      2127 ns/op	       133.8 B/serial	     736 B/op	      31 allocs/op
Benchmark_GoAvro2Binary_Marshal-8                                 	 1691883	       808.2 ns/op	        47.00 B/serial	     464 B/op	       9 allocs/op
Benchmark_GoAvro2Binary_Unmarshal-8                               	 1000000	      1046 ns/op	        47.00 B/serial	     544 B/op	      11 allocs/op
Benchmark_Ikea_Marshal-8                                          	 1419968	       914.1 ns/op	        55.00 B/serial	     184 B/op	      10 allocs/op
Benchmark_Ikea_Unmarshal-8                                        	 2206431	       548.1 ns/op	        55.00 B/serial	     160 B/op	      11 allocs/op
Benchmark_ShamatonMapMsgpack_Marshal-8                            	 2266911	       491.7 ns/op	        92.00 B/serial	     192 B/op	       4 allocs/op
Benchmark_ShamatonMapMsgpack_Unmarshal-8                          	 2309575	       490.9 ns/op	        92.00 B/serial	     168 B/op	       5 allocs/op
Benchmark_ShamatonArrayMsgpack_Marshal-8                          	 2313030	       503.6 ns/op	        50.00 B/serial	     160 B/op	       4 allocs/op
Benchmark_ShamatonArrayMsgpack_Unmarshal-8                        	 2080389	       492.6 ns/op	        50.00 B/serial	     168 B/op	       5 allocs/op
Benchmark_ShamatonMapMsgpackgen_Marshal-8                         	 7936972	       147.2 ns/op	        92.00 B/serial	      96 B/op	       1 allocs/op
Benchmark_ShamatonMapMsgpackgen_Unmarshal-8                       	 4416087	       261.2 ns/op	        92.00 B/serial	     112 B/op	       3 allocs/op
Benchmark_ShamatonArrayMsgpackgen_Marshal-8                       	10875586	       123.1 ns/op	        50.00 B/serial	      64 B/op	       1 allocs/op
Benchmark_ShamatonArrayMsgpackgen_Unmarshal-8                     	 6395007	       197.4 ns/op	        50.00 B/serial	     112 B/op	       3 allocs/op
Benchmark_SSZNoTimeNoStringNoFloatA_Marshal-8                     	  277348	      3892 ns/op	        55.00 B/serial	     440 B/op	      71 allocs/op
Benchmark_SSZNoTimeNoStringNoFloatA_Unmarshal-8                   	  174462	      6584 ns/op	        55.00 B/serial	    1184 B/op	      78 allocs/op
Benchmark_Bebop_200sc_Marshal-8                                   	10749061	       104.0 ns/op	        55.00 B/serial	      64 B/op	       1 allocs/op
